,qid,year,month,numQuotes,date
160,Q22686,2015,5,363,2015-05-15
161,Q76,2015,5,3565,2015-05-15
162,Q22686,2015,6,1689,2015-06-15
163,Q76,2015,6,4345,2015-06-15
164,Q22686,2015,7,5008,2015-07-15
165,Q76,2015,7,6596,2015-07-15
166,Q22686,2015,8,10203,2015-08-15
167,Q76,2015,8,4856,2015-08-15
168,Q22686,2015,9,8453,2015-09-15
169,Q76,2015,9,5575,2015-09-15
170,Q22686,2015,10,6531,2015-10-15
171,Q76,2015,10,6413,2015-10-15
172,Q22686,2015,11,6316,2015-11-15
173,Q76,2015,11,6899,2015-11-15
174,Q22686,2015,12,10760,2015-12-15
175,Q76,2015,12,7638,2015-12-15
176,Q22686,2016,1,299,2016-01-15
177,Q76,2016,1,378,2016-01-15
178,Q22686,2016,2,7408,2016-02-15
179,Q76,2016,2,3618,2016-02-15
180,Q22686,2016,3,557,2016-03-15
181,Q76,2016,3,153,2016-03-15
182,Q22686,2016,4,7166,2016-04-15
183,Q76,2016,4,3540,2016-04-15
184,Q22686,2016,5,15837,2016-05-15
185,Q76,2016,5,6560,2016-05-15
186,Q22686,2016,6,900,2016-06-15
187,Q76,2016,6,414,2016-06-15
188,Q22686,2016,7,16102,2016-07-15
189,Q76,2016,7,9118,2016-07-15
190,Q22686,2016,8,18596,2016-08-15
191,Q76,2016,8,4064,2016-08-15
192,Q22686,2016,9,22868,2016-09-15
193,Q76,2016,9,9123,2016-09-15
194,Q22686,2016,10,678,2016-10-15
195,Q76,2016,10,136,2016-10-15
196,Q22686,2016,11,1153,2016-11-15
197,Q76,2016,11,402,2016-11-15
198,Q22686,2016,12,14626,2016-12-15
199,Q76,2016,12,6239,2016-12-15
200,Q22686,2017,1,1520,2017-01-15
201,Q76,2017,1,333,2017-01-15
202,Q22686,2017,2,13350,2017-02-15
203,Q76,2017,2,642,2017-02-15
204,Q22686,2017,3,15460,2017-03-15
205,Q76,2017,3,1281,2017-03-15
206,Q22686,2017,4,17869,2017-04-15
207,Q76,2017,4,1430,2017-04-15
208,Q22686,2017,5,17055,2017-05-15
209,Q76,2017,5,2050,2017-05-15
210,Q22686,2017,6,14381,2017-06-15
211,Q76,2017,6,1495,2017-06-15
212,Q22686,2017,7,15520,2017-07-15
213,Q76,2017,7,884,2017-07-15
214,Q22686,2017,8,20329,2017-08-15
215,Q76,2017,8,1015,2017-08-15
216,Q22686,2017,9,17287,2017-09-15
217,Q76,2017,9,1797,2017-09-15
218,Q22686,2017,10,17230,2017-10-15
219,Q76,2017,10,1389,2017-10-15
220,Q22686,2017,11,14485,2017-11-15
221,Q76,2017,11,908,2017-11-15
222,Q22686,2017,12,12574,2017-12-15
223,Q76,2017,12,1666,2017-12-15
224,Q22686,2018,1,18729,2018-01-15
225,Q76,2018,1,1142,2018-01-15
226,Q22686,2018,2,14036,2018-02-15
227,Q76,2018,2,1203,2018-02-15
228,Q22686,2018,3,15173,2018-03-15
229,Q76,2018,3,876,2018-03-15
230,Q22686,2018,4,15326,2018-04-15
231,Q76,2018,4,847,2018-04-15
232,Q22686,2018,5,14842,2018-05-15
233,Q76,2018,5,1042,2018-05-15
234,Q22686,2018,6,17856,2018-06-15
235,Q76,2018,6,898,2018-06-15
236,Q22686,2018,7,17578,2018-07-15
237,Q76,2018,7,1581,2018-07-15
238,Q22686,2018,8,12524,2018-08-15
239,Q76,2018,8,810,2018-08-15
240,Q22686,2018,9,14466,2018-09-15
241,Q76,2018,9,2148,2018-09-15
242,Q22686,2018,10,20748,2018-10-15
243,Q76,2018,10,1181,2018-10-15
244,Q22686,2018,11,17011,2018-11-15
245,Q76,2018,11,2310,2018-11-15
246,Q22686,2018,12,9162,2018-12-15
247,Q76,2018,12,949,2018-12-15
248,Q22686,2019,1,13550,2019-01-15
249,Q76,2019,1,484,2019-01-15
250,Q22686,2019,2,13163,2019-02-15
251,Q76,2019,2,587,2019-02-15
252,Q22686,2019,3,11294,2019-03-15
253,Q76,2019,3,664,2019-03-15
254,Q22686,2019,4,9783,2019-04-15
255,Q76,2019,4,844,2019-04-15
256,Q22686,2019,5,12290,2019-05-15
257,Q76,2019,5,521,2019-05-15
258,Q22686,2019,6,15520,2019-06-15
259,Q76,2019,6,505,2019-06-15
260,Q22686,2019,7,12919,2019-07-15
261,Q76,2019,7,495,2019-07-15
262,Q22686,2019,8,14972,2019-08-15
263,Q76,2019,8,710,2019-08-15
264,Q22686,2019,9,13695,2019-09-15
265,Q76,2019,9,476,2019-09-15
266,Q22686,2019,10,15458,2019-10-15
267,Q76,2019,10,629,2019-10-15
268,Q22686,2019,11,10769,2019-11-15
269,Q76,2019,11,862,2019-11-15
270,Q22686,2019,12,9822,2019-12-15
271,Q76,2019,12,559,2019-12-15
272,Q22686,2020,1,12384,2020-01-15
273,Q76,2020,1,484,2020-01-15
274,Q22686,2020,2,11926,2020-02-15
275,Q76,2020,2,584,2020-02-15
276,Q22686,2020,3,15298,2020-03-15
277,Q76,2020,3,328,2020-03-15
278,Q22686,2020,4,8513,2020-04-15
279,Q76,2020,4,405,2020-04-15
